kanji,on-yomi,kun-yomi,meaning,examples
不,フ、ブ,,non-; negative; bad,不便 (ふべん) inconvenience
世,セ、セイ、ソウ,よ,generation; public; society; world,"世界 (せかい) world
世話 (せわ) looking after"
主,シュ、シュウ、ス,おも、ぬし,chief; lord; main thing; master; principal,ご主人 (ごしゅじん) (hon) your husband
乗,ショウ、ジョウ,の・せる、の・る,board; ride; counter for vehicles; multiplication; power,"乗り換える (のりかえる) to transfer/change (bus, train)
乗り物 (のりもの) vehicle
乗る (のる) to get on (train, plane, bus, ship, etc.); to ride; to board"
事,ジ,こと,business; fact; matter; possibly; reason; thing,"事務所 (じむしょ) office
事故 (じこ) accident; incident; trouble
仕事 (しごと) work; job; business
返事 (へんじ) reply; response"
京,キョウ,みやこ,capital,京都 (きょうと) Kyoto
仕,シ、ジ,つか・える,attend; doing; official; serve,"仕事 (しごと) work; job; business
仕方 (しかた) way; method; means"
代,タイ、ダイ,かわ・る、か・える,change; replace; substitute; convert; counter for decades of ages; fee; generation; period,"代わり (かわり) substitute; replacement
時代 (じだい) period; era; times"
以,イ,,because; by means of; compared with,"以上 (いじょう) more than (or equal to); at least
以下 (いか) less than (or equal to); below
以内 (いない) within; up to; less than
以外 (いがい) with the exception of; other than"
会,エ、カイ,あ・う、あ・わせる、あつ・まる,association; interview; join; meet; meeting; party,"会う (あう) to meet
会場 (かいじょう) assembly hall; venue
会社 (かいしゃ) company
会議 (かいぎ) meeting; conference"
低,テイ,ひく・い、ひく・まる、ひく・める,humble; lower; short,"低い (ひくい) low (rank, volumn, etc.) | short (height); low (position)"
住,ジュウ、チュウ、ヂュウ,す・まう、す・む,live; reside,"住む (すむ) to live; to reside; to inhabit
住所 (じゅうしょ) address (e.g. of house)"
体,タイ、テイ,かたち、からだ,body; object; substance,"体 (からだ) body
大体 (だいたい) generally; approximately"
作,サ、サク,つく・り、つく・る,build; make; prepare; production,"作る (つくる) to make; to produce; to manufacture
作文 (さくぶん) writing; composition"
使,シ,つか・い、つか・う,ambassador; use,"使う (つかう) to use
大使館 (たいしかん) embassy"
便,ビン、ベン,たよ・り,convenience; facility; feces; letter,"不便 (ふべん) inconvenience
便利 (べんり) convenient; handy; useful
郵便局 (ゆうびんきょく) post office"
借,シャク,か・りる,borrow; rent,借りる (かりる) to borrow; to have a loan | to rent
働,ドウ,はたら・く,work,働く (はたらく) to work; to labor
元,ガン、ゲン,もと,beginning; origin; former time,元気 (げんき) healthy; well; lively
兄,キョウ,あに,elder brother,"お兄さん (おにいさん) older brother
兄 (あに) (hum) older brother
兄弟 (きょうだい) siblings; brothers and sisters"
光,コウ,ひか・る,light; ray,"光 (ひかり) light; illumination
光る (ひかる) to shine; to glitter"
公,ク、コウ,おおやけ,governmental; public,"公務員 (こうむいん) government worker
公園 (こうえん) park"
写,シャ、ジャ,うつ・す、うつ・る,copy,"写す (うつす) to copy; to transcribe; to photograph
写真 (しゃしん) photograph; photo; picture"
冬,トウ,ふゆ,winter,冬 (ふゆ) winter
切,サイ、セツ,き・る、き・れる,be sharp; cut,"切る (きる) to cut | to turn off (e.g. the light)
切手 (きって) stamp (postage)
切符 (きっぷ) ticket
大切 (たいせつ) important; necessary
親切 (しんせつ) kindness; gentleness"
別,ベツ,わか・れる、わ・ける,branch off; fork; separate,"別 (べつ) different; another; separate
別れる (わかれる) to part from; to break up
特別 (とくべつ) special"
力,リイ、リキ、リョク,ちから,power; strength,力 (ちから) strength; power; skill
勉,ベン,つと・める,diligent; make effort; strive,勉強 (べんきょう) study
動,ドウ,うご・かす、うご・く,change; confusion; motion; move; shake; shift,"動く (うごく) to move
動物 (どうぶつ) animal
動物園 (どうぶつえん) zoo
自動車 (じどうしゃ) automobile
運動 (うんどう) exercise; physical training"
区,ク、コウ,,district; ward,"～区 (～く) ～ district
渋谷区 (しぶやく) (district of) Shibuya"
医,イ,い・する、い・やす,doctor; medicine,"医学 (いがく) medical science; medicine
医者 (いしゃ) doctor
歯医者 (はいしゃ) dentist"
去,キョ、コ,さ・る,eliminate; leave; past; quit,去年 (きょねん) last year
口,ク、コウ,くち,mouth,"人口 (じんこう) population
入口 (いりぐち) entrance; entry
出口 (でぐち) exit
口 (くち) mouth | opening; hole"
古,コ,ふる・い,old,古い (ふるい) old (not person); aged; stale
台,タイ、ダイ,つかさ,a stand; counter for machines and vehicles,"台所 (だいどころ) kitchen
台風 (たいふう) typhoon; hurricane
～台 (～だい) counter for large objects (esp. devices such as refrigerators, cars)"
合,カッ、ガッ、ゴウ,あ・う、あ・わせる,fit; join,"場合 (ばあい) case; situation
試合 (しあい) match; game
都合 (つごう) circumstances; condition | arrangement
間に合う (まにあう) to be in time for"
同,ドウ,おな・じ,agree; equal; same,同じ (おなじ) same; identical; equivalent
味,ミ,あじ、あじ・わう,flavor; taste,"味 (あじ) flavor
味噌 (みそ) (food) miso
意味 (いみ) meaning
興味 (きょうみ) interest (in something); curiosity
趣味 (しゅみ) hobby"
品,ヒン,しな,goods; refinement,"品物 (しなもの) goods; article
食料品 (しょくりょうひん) foodstuff; groceries"
員,イン,,employee; member,"会社員 (かいしゃいん) company employee
公務員 (こうむいん) government worker
店員 (てんいん) clerk; salesperson
～員 (～いん) member of ～"
問,モン,と・う,ask; problem; question,"問題 (もんだい) question (e.g. on a test); problem
質問 (しつもん) question; inquiry"
回,カイ,まわ・す、まわ・る,～ times; revolve,"回る (まわる) to turn; to revolve; to go around
～回 (～かい) counter for number of times"
図,ズ、ト,はか・る,map; plan,"図書館 (としょかん) library
地図 (ちず) map"
地,ジ、チ,,earth; ground,"地下鉄 (ちかてつ) subway
地図 (ちず) map
地理 (ちり) geography
地震 (じしん) earthquake"
堂,ドウ,,hall,"講堂 (こうどう) auditorium; lecture hall
食堂 (しょくどう) cafeteria"
場,ジョウ,ば,location; place,"会場 (かいじょう) assembly hall; venue
場合 (ばあい) case; situation
場所 (ばしょ) place; location
工場 (こうじょう、こうば) factory; plant; mill; workshop
駐車場 (ちゅうしゃじょう) parking lot"
声,ショウ、セイ,こえ,voice,声 (こえ) voice
売,バイ,う・る、う・れる,sell,"売り場 (うりば) place where things are sold (sales counter, corner, etc.)
売る (うる) to sell"
夏,カ、ガ,なつ,summer,"夏 (なつ) summer
夏休み (なつやすみ) summer vacation"
夕,,ゆう,evening,"夕方 (ゆうがた) evening; dusk
夕飯 (ゆうめし、ゆうはん) evening meal"
多,タ,おお・い,frequent; many,"多い (おおい) many; a lot | large quantity
多分 (たぶん) perhaps; probably"
夜,ヤ,よ、よる,evening,"今夜 (こんや) this evening; tonight
夜 (よる) evening; night
昨夜 (ゆうべ) last night"
太,タ、タイ,ふと・い、ふと・る,plump; thick,"太い (ふとい) fat; thick | deep (of a voice)
太る (ふとる) to become fat"
好,コウ,この・む、す・く,fond; pleasing,"大好き (だいすき) loveable; like very much
好き (すき) like; likable"
妹,マイ,いもうと,younger sister,妹 (いもうと) (hum) younger sister
姉,シ,あね,elder sister,"お姉さん (おねえさん) elder sister
姉 (あね) (hum) older sister"
始,シ,はじ・まる、はじ・める,begin,"始まる (はじまる) to begin; to start
始める (はじめる) to start; to begin"
字,ジ,あざ,character; letter,"字 (じ) character; letter | hand-writing
字引き (じびき) dictionary
漢字 (かんじ) Chinese characters; kanji"
安,アン,やす・い、やす・まる,cheap; peaceful; relaxed,"安い (やすい) cheap; inexpensive
安全 (あんぜん) safety; security
安心 (あんしん) relief; peace of mind"
室,シツ,,chamber; room,"会議室 (かいぎしつ) conference room
教室 (きょうしつ) classroom
研究室 (けんきゅうしつ) laboratory"
家,カ、ケ,いえ、うち、や,family; home; expert; professional,"家 (いえ、うち) house; residence; dwelling
家内 (かない) (hum) wife | one's family
家庭 (かてい) household; family
家族 (かぞく) family; members of a family"
寒,カン,さむ・い,cold,寒い (さむい) cold (e.g. weather)
少,ショウ,すく・ない、すこ・し,few,"少し (すこし) small quantity; little; few
少ない (すくない) few; a little"
